dataset,mode,degrade_size,mean_acc,ci
isic,B_degraded,56,26.33333333333333,0.9131570033035826
isic,C_sr,56,31.586666666666666,1.1976921034556982
chestx,B_degraded,56,19.613333333333333,0.6991570160942103
chestx,C_sr,56,18.36,0.7371576724650393
eurosat,B_degraded,56,85.15999999999998,1.1907370810297164
eurosat,C_sr,56,48.279999999999994,1.833775885073716
crop_disease,B_degraded,56,69.26666666666667,1.8955880727136212
crop_disease,C_sr,56,64.61333333333333,1.9487205319401082
